transaction_id,date,customer_id,product_id,store_id,quantity,unit_price,promotion_applied,revenue
T100000,2024-08-23,C6834,P1088,S104,2,310.89,0,621.78
T100001,2024-05-20,C6815,P1080,S110,1,420.42,0,420.42
T100002,2024-08-06,C6530,P1068,S105,1,105.89,0,105.89
T100003,2024-05-26,C5635,P1053,S111,1,130.84,0,130.84
T100004,2024-12-24,C6610,P1075,S103,1,27.06,0,27.06
T100005,2024-10-09,C5674,P1080,S108,1,420.42,0,420.42
T100006,2024-08-12,C5177,P1095,S105,1,346.02,0,346.02
T100007,2024-09-22,C6035,P1012,S104,1,190.29,1,171.26
T100008,2024-04-18,C5267,P1064,S101,2,149.24,0,298.48
T100009,2024-07-15,C5258,P1093,S104,1,9.54,0,9.54
T100010,2024-02-29,C5146,P1090,S101,1,266.21,0,266.21
T100011,2024-07-27,C5893,P1059,S106,1,596.16,0,596.16
T100012,2024-06-23,C6169,P1059,S109,2,596.16,0,1192.32
T100013,2024-04-16,C5627,P1099,S103,1,152.47,0,152.47
T100014,2024-05-02,C5453,P1079,S111,1,75.04,0,75.04
T100015,2024-10-23,C6269,P1020,S105,2,139.37,0,278.74
T100016,2024-08-28,C6025,P1098,S104,2,176.7,0,353.4
T100017,2024-03-10,C6567,P1023,S103,1,180.16,0,180.16
T100018,2024-04-23,C5917,P1026,S112,1,199.04,0,199.04
T100019,2024-04-22,C6405,P1072,S105,1,259.15,0,259.15
T100020,2024-01-30,C5803,P1040,S105,2,282.49,1,508.48
T100021,2024-10-16,C5867,P1073,S106,1,344.68,0,344.68
T100022,2024-08-06,C5311,P1052,S101,2,8.16,0,16.32
T100023,2024-07-11,C6549,P1095,S106,1,346.02,0,346.02
T100024,2024-06-21,C5556,P1002,S104,1,191.81,0,191.81
T100025,2024-05-14,C5771,P1068,S111,2,105.89,0,211.78
T100026,2024-05-17,C6164,P1096,S109,1,234.47,0,234.47
T100027,2024-12-05,C5903,P1010,S111,2,18.18,0,36.36
T100028,2024-04-25,C6993,P1090,S111,1,266.21,0,266.21
T100029,2024-07-02,C6625,P1035,S103,1,216.25,0,216.25
T100030,2024-11-30,C6163,P1048,S102,1,413.62,0,413.62
T100031,2024-06-25,C5851,P1044,S111,1,33.2,0,33.2
T100032,2024-12-15,C6651,P1020,S103,1,139.37,0,139.37
T100033,2024-07-26,C5599,P1078,S110,1,102.27,0,102.27
T100034,2024-07-19,C5658,P1021,S105,4,33.42,0,133.68
T100035,2024-08-29,C6253,P1012,S101,1,190.29,1,171.26
T100036,2024-02-03,C5116,P1030,S112,1,10.6,0,10.6
T100037,2024-04-16,C5012,P1075,S107,1,27.06,0,27.06
T100038,2024-10-01,C5642,P1083,S105,1,40.38,1,36.34
T100039,2024-05-23,C6205,P1079,S105,1,75.04,0,75.04
T100040,2024-06-20,C5211,P1086,S109,1,20.4,0,20.4
T100041,2024-08-11,C5702,P1031,S111,1,52.15,0,52.15
T100042,2024-09-03,C6768,P1058,S110,1,3.34,0,3.34
T100043,2024-06-26,C6439,P1080,S105,1,420.42,0,420.42
T100044,2024-04-17,C5624,P1079,S104,2,75.04,0,150.08
T100045,2024-11-22,C5411,P1080,S108,2,420.42,0,840.84
T100046,2024-12-23,C5365,P1055,S111,2,2.49,0,4.98
T100047,2024-06-07,C6880,P1009,S110,1,118.85,0,118.85
T100048,2024-09-21,C5916,P1048,S106,1,413.62,0,413.62
T100049,2024-06-04,C6176,P1016,S103,1,61.7,0,61.7
T100050,2024-01-19,C5016,P1089,S108,1,28.27,0,28.27
T100051,2024-11-09,C6882,P1092,S107,1,175.96,1,158.36
T100052,2024-12-04,C5620,P1087,S102,1,21.95,0,21.95
T100053,2024-03-13,C6766,P1087,S107,2,21.95,0,43.9
T100054,2024-03-14,C5333,P1026,S108,2,199.04,0,398.08
T100055,2024-01-27,C5657,P1096,S102,1,234.47,0,234.47
T100056,2024-04-24,C6557,P1019,S108,1,157.28,0,157.28
